mitigation,technique
M1025,T1003
M1025,T1547
M1029,T1565
M1029,T1072
M1029,T1070
M1029,T1119
M1022,T1548
M1022,T1037
M1022,T1070
M1022,T1564
M1022,T1569
M1022,T1562
M1022,T1222
M1022,T1553
M1022,T1563
M1022,T1218
M1022,T1552
M1022,T1530
M1022,T1574
M1022,T1556
M1022,T1543
M1022,T1565
M1022,T1546
M1022,T1098
M1022,T1036
M1022,T1055
M1022,T1053
M1022,T1080
M1022,T1489
M1022,T1547
M1044,T1574
M1044,T1547
M1024,T1574
M1024,T1037
M1024,T1112
M1024,T1505
M1024,T1070
M1024,T1489
M1024,T1562
M1024,T1547
M1024,T1553
M1021,T1204
M1021,T1189
M1021,T1528
M1021,T1568
M1021,T1550
M1021,T1218
M1021,T1567
M1021,T1566
M1021,T1102
M1021,T1059
M1054,T1602
M1054,T1555
M1054,T1559
M1054,T1546
M1054,T1539
M1054,T1557
M1054,T1550
M1054,T1566
M1054,T1598
M1054,T1562
M1054,T1535
M1054,T1137
M1054,T1606
M1054,T1553
M1020,T1573
M1020,T1090
M1019,T1211
M1019,T1210
M1019,T1212
M1019,T1068
M1051,T1189
M1051,T1548
M1051,T1495
M1051,T1068
M1051,T1072
M1051,T1555
M1051,T1210
M1051,T1542
M1051,T1195
M1051,T1552
M1051,T1190
M1051,T1137
M1051,T1574
M1051,T1550
M1051,T1110
M1051,T1211
M1051,T1212
M1051,T1602
M1051,T1546
M1051,T1176
M1052,T1546
M1052,T1574
M1052,T1550
M1052,T1548
M1018,T1484
M1018,T1619
M1018,T1528
M1018,T1548
M1018,T1078
M1018,T1569
M1018,T1047
M1018,T1072
M1018,T1562
M1018,T1578
M1018,T1606
M1018,T1580
M1018,T1185
M1018,T1563
M1018,T1087
M1018,T1552
M1018,T1648
M1018,T1059
M1018,T1530
M1018,T1610
M1018,T1574
M1018,T1040
M1018,T1197
M1018,T1556
M1018,T1538
M1018,T1550
M1018,T1505
M1018,T1543
M1018,T1110
M1018,T1566
M1018,T1021
M1018,T1537
M1018,T1546
M1018,T1098
M1018,T1609
M1018,T1053
M1018,T1213
M1018,T1134
M1018,T1489
M1018,T1613
M1018,T1199
M1018,T1547
M1017,T1204
M1017,T1621
M1017,T1539
M1017,T1528
M1017,T1078
M1017,T1111
M1017,T1072
M1017,T1185
M1017,T1003
M1017,T1552
M1017,T1056
M1017,T1557
M1017,T1566
M1017,T1036
M1017,T1221
M1017,T1213
M1017,T1598
M1017,T1176
M1017,T1547
M1016,T1195
M1016,T1190
M1016,T1210
M1002,T1623
M1002,T1634
M1002,T1645
M1002,T1630
M1002,T1424
M1002,T1398
M1002,T1404
M1002,T1625
M1002,T1617
M1010,T1623
M1010,T1634
M1010,T1628
M1010,T1629
M1010,T1404
M1010,T1617
M1009,T1638
M1012,T1417
M1012,T1428
M1012,T1458
M1012,T1517
M1012,T1629
M1012,T1430
M1012,T1516
M1012,T1632
M1012,T1513
M1012,T1461
M1014,T1430
M1003,T1645
M1003,T1398
M1003,T1458
M1001,T1645
M1001,T1634
M1001,T1458
M1001,T1630
M1001,T1629
M1001,T1474
M1001,T1398
M1001,T1404
M1001,T1456
M1001,T1577
M1001,T1461
M1004,T1645
M1004,T1629
M1004,T1474
M1004,T1398
M1004,T1625
M1006,T1638
M1006,T1636
M1006,T1635
M1006,T1418
M1006,T1632
M1006,T1641
M1006,T1422
M1006,T1420
M1006,T1627
M1006,T1626
M1006,T1458
M1006,T1577
M1006,T1409
M1006,T1642
M1006,T1407
M1006,T1629
M1006,T1430
M1006,T1424
M1006,T1512
M1006,T1624
M1006,T1417
M1006,T1429
M1006,T1414
M1006,T1628
M1011,T1636
M1011,T1640
M1011,T1635
M1011,T1516
M1011,T1418
M1011,T1632
M1011,T1616
M1011,T1627
M1011,T1626
M1011,T1458
M1011,T1630
M1011,T1582
M1011,T1513
M1011,T1642
M1011,T1644
M1011,T1541
M1011,T1629
M1011,T1430
M1011,T1517
M1011,T1417
M1011,T1429
M1011,T1628
M1011,T1643
M0801,T0859
M0801,T0838
M0801,T0891
M0801,T0816
M0801,T0812
M0801,T0886
M0801,T0871
M0801,T0858
M0801,T0839
M0801,T0845
M0801,T0861
M0801,T0800
M0801,T0843
M0801,T0857
M0801,T0868
M0936,T0859
M0936,T0822
M0915,T0859
M0949,T0865
M0949,T0863
M0949,T0864
M0913,T0859
M0948,T0817
M0948,T0890
M0948,T0866
M0948,T0853
M0948,T0819
M0948,T0820
M0947,T0859
M0947,T0851
M0947,T0821
M0947,T0811
M0947,T0839
M0947,T0836
M0947,T0873
M0947,T0857
M0947,T0864
M0947,T0843
M0947,T0862
M0947,T0874
M0947,T0889
M0947,T0830
M0800,T0838
M0800,T0816
M0800,T0886
M0800,T0871
M0800,T0858
M0800,T0836
M0800,T0845
M0800,T0861
M0800,T0800
M0800,T0843
M0800,T0868
M0946,T0857
M0946,T0839
M0945,T0849
M0945,T0851
M0945,T0821
M0945,T0863
M0945,T0839
M0945,T0873
M0945,T0843
M0945,T0862
M0945,T0857
M0945,T0889
M0802,T0831
M0802,T0816
M0802,T0848
M0802,T0832
M0802,T0856
M0802,T0855
M0802,T0860
M0802,T0858
M0802,T0839
M0802,T0845
M0802,T0861
M0802,T0800
M0802,T0843
M0802,T0857
M0802,T0868
M0802,T0830
M0953,T0831
M0953,T0832
M0953,T0828
M0953,T0813
M0953,T0829
M0953,T0815
M0953,T0809
M0953,T0826
M0953,T0827
M0803,T0882
M0942,T0885
M0942,T0816
M0942,T0866
M0942,T0847
M0942,T0853
M0942,T0807
M0942,T0822
M0942,T0830
M0808,T0887
M0808,T0860
M0808,T0839
M0808,T0857
M0808,T0842
M0941,T0882
M0941,T0811
M0941,T0839
M0941,T0873
M0941,T0864
M0941,T0857
M0938,T0849
M0938,T0834
M0938,T0853
M0938,T0863
M0938,T0871
M0938,T0807
M0950,T0817
M0950,T0890
M0950,T0866
M0950,T0819
M0950,T0820
M0937,T0859
M0937,T0816
M0937,T0848
M0937,T0855
M0937,T0886
M0937,T0868
M0937,T0839
M0937,T0845
M0937,T0861
M0937,T0800
M0937,T0843
M0937,T0857
M0937,T0806
M0937,T0884
M0937,T0856
M0804,T0838
M0804,T0885
M0804,T0816
M0804,T0886
M0804,T0871
M0804,T0858
M0804,T0839
M0804,T0845
M0804,T0861
M0804,T0800
M0804,T0843
M0804,T0857
M0804,T0868
M0935,T0822
M0934,T0847
M0805,T0879
M0805,T0880
M0806,T0860
M0806,T0887
M0816,T0823
M0816,T0801
M0816,T0835
M0816,T0840
M0816,T0877
M0816,T0852
M0932,T0859
M0932,T0842
M0932,T0822
M0807,T0879
M0807,T0868
M0807,T0861
M0807,T0878
M0807,T0816
M0807,T0804
M0807,T0857
M0807,T0802
M0807,T0884
M0807,T0805
M0807,T0848
M0807,T0803
M0807,T0845
M0807,T0839
M0807,T0800
M0807,T0869
M0807,T0806
M0807,T0838
M0807,T0886
M0807,T0858
M0807,T0843
M0807,T0855
M0807,T0856
M0931,T0885
M0931,T0867
M0931,T0863
M0931,T0865
M0931,T0869
M0931,T0884
M0931,T0830
M0930,T0842
M0930,T0866
M0930,T0868
M0930,T0861
M0930,T0864
M0930,T0878
M0930,T0830
M0930,T0816
M0930,T0857
M0930,T0802
M0930,T0805
M0930,T0883
M0930,T0848
M0930,T0845
M0930,T0839
M0930,T0800
M0930,T0869
M0930,T0806
M0930,T0819
M0930,T0822
M0930,T0838
M0930,T0885
M0930,T0886
